"","lon","lat","V3"
"Bangalore",77.5945627,12.9715987,"India"
"Chandigarh",76.7794179,30.7333148,"India"
"Delhi",77.1024902,28.7040592,"India"
"Mumbai",72.8776559,19.0759837,"India"
"Kolkata",88.363895,22.572646,"India"
"Jaipur",75.7872709,26.9124336,"India"
"Hyderabad",78.486671,17.385044,"India"
"Chennai",80.2707184,13.0826802,"India"
"Cape Town",18.4240553,-33.9248685,"South Africa"
"Port Elizabeth",25.5207358,-33.7139247,"South Africa"
"Durban",31.0218404,-29.8586804,"South Africa"
"Centurion",28.0888578,-25.864029,"South Africa"
"East London",27.8545867,-33.0291582,"South Africa"
"Johannesburg",28.0473051,-26.2041028,"South Africa"
"Kimberley",24.7499112,-28.7282384,"South Africa"
"Bloemfontein",26.1595761,-29.085214,"South Africa"
"Ahmedabad",72.5713621,23.022505,"India"
"Cuttack",85.8829895,20.462521,"India"
"Nagpur",79.0881546,21.1458004,"India"
"Dharamsala",76.3234037,32.219042,"India"
"Kochi",76.2673041,9.9312328,"India"
"Indore",75.8577258,22.7195687,"India"
"Visakhapatnam",83.2184815,17.6868159,"India"
"Pune",73.8567437,18.5204303,"India"
"Raipur",81.6296413,21.2513844,"India"
"Ranchi",85.309562,23.3440997,"India"
"Abu Dhabi",54.3773438,24.453884,"United Arab Emirates"
"Sharjah",55.4209317,25.3462553,"United Arab Emirates"
"Rajkot",70.8021599,22.3038945,"India"
"Kanpur",80.3318736,26.449923,"India"
